"Productname","NCream","NAcidic","NButter","NOldmilk","EWhite","EGrey","EYellow","EGreen","HResistance","EGrainy","EShiny","MFirm","MMeltdown","MResistance","MCreaminess","MGrainy","MChalky","MCream","MFat","MButter","MSalt","MSour","MSweet"
"33%'",0.136011562503689,-0.138371277412351,-0.227491530347944,-0.134286577119419,-1.34395700271051,-0.50652487505994,1.57667702041991,0.242325454609644,0.938363165719241,0.475867803779139,-1.49247682262029,0.488322166777492,0.0130282081285424,-0.066425849665285,0.332732358761475,0.573115250913935,-0.367959623640097,0.64405365893558,0.288758385979021,0.774195034324033,0.396436806201359,-0.5558358008441,0.701050262319258
"24%'",-0.192044519392554,0.0818342018185459,-0.304250907274384,-0.109167454689073,0.0523388333990784,0.477760644774993,0.0431672044002886,-0.156460672026681,1.02628276500369,0.326931506822176,0.0278218968822797,0.921819478198551,-0.847407350281826,0.819506881207179,0.346925604824147,0.318356673351981,-0.28552107058224,0.15866524047256,0.391008991065145,0.164452659468925,0.0634341146006066,-0.159457975042346,0.0275272180917966
"16%'",-0.14163270424928,-0.163711521312698,-0.433250883852461,0.0822827604425971,0.349296396944451,-0.0512639416021833,-0.321930477164034,-0.209838877742923,-1.03312830347728,-0.571652715177371,1.16703629835737,-0.84672098061778,0.637802341466721,-0.541030253041055,0.028120932414128,0.47359665433028,-0.374851281638726,0.188049222619692,-0.0537152006180066,0.0220345852120014,0.153786305280626,0.0350072247316893,0.196095619080791
"D-CH",0.341435100778452,-0.187394626752571,0.593068798547103,-0.361246033128614,0.799953849354894,-0.0776614254743034,-0.52113891987749,-0.116802004237849,1.26892370228583,-0.492931216206527,-1.20828076522706,1.26057347665458,-1.07139509540663,1.14532560827742,0.823785897747838,-0.735845154294508,-0.571326923298617,0.389610320664973,0.792320264823849,0.36812028663425,-0.507805087811159,-0.404106016031116,0.104597414544756
"A-Pr",-0.222904647616155,0.446806145390145,-0.10326722096838,0.397498233572485,0.596514986934226,0.499572127735909,-0.782522826968719,0.135437712045402,0.258526599781426,0.567063977481241,-0.399648292387459,0.659484960158741,-0.650713824368994,0.59151734956681,-0.621221764621465,-0.049170432836054,1.50076865882714,-0.572849178811774,-0.732823414497909,-0.890821944057018,-0.589459563747711,0.269708943461561,-0.518247950328809
"B-Pr",-0.251913137234513,-0.26380572289674,-0.530366093921799,0.391209951590322,0.742770793741952,0.129623779716395,-0.840588215447246,-0.211577864338878,-0.346743955385866,0.0547449764588652,0.153733747333982,-0.308239995104035,0.0693084926501416,0.0101014714347397,0.0149043680146286,-0.623037476275308,0.218882505305446,-0.930415062069847,-0.898368503969006,-1.35860696987761,-0.614593673820577,1.42239019172272,-0.298640847195058
"P",-0.190850073857721,-0.162263432392038,0.139999366185764,-0.390728539655195,-0.39180677212776,-0.259222522147399,0.440201013484251,0.012367831959025,-0.739197698060516,-0.291765640562141,0.930308283923066,-0.732629706253268,0.724415898629256,-0.73355261212208,-0.426727900073565,0.332951694629267,-0.445973244939899,0.13038910759138,0.199051186284117,0.47757589354036,0.149252793297245,-0.144575563857549,0.00264516436588171
"C-CH",0.247823802923671,0.143416233477013,0.57033522142087,-0.332506485705168,-0.946809220866224,-0.556361991153703,0.948315423117754,-0.212752608851317,-1.03990291007557,-0.367651274370295,0.526932769889463,-1.28633503676202,0.935566121556507,-0.987871384803864,0.434639886114124,-0.430633447979721,-0.86413395764185,0.264373068731872,0.381154517386962,0.764144509817915,1.50339597591011,-0.627917089931154,0.03265389502435
"P+Ar",0.49697926376057,-0.203316145309451,0.398490471179611,0.0594459111195812,-0.454816851604337,-0.15549392452568,0.24034260500401,0.381863316538175,-0.59164996557239,-0.267671395706329,0.694221176236102,-0.815759323210998,0.840109031995276,-0.829088560420669,-0.311937618559844,0.189836670996183,-0.3106537212183,0.300972800677339,0.365437188043737,0.569727888994157,0.0350118938372141,-0.104922857671272,0.270567174425844
