"representation","method","k","silhouette","calinski_harabasz","davies_bouldin","dunn_index","within_ss","min_cluster_size","max_cluster_size","balance_ratio","cophenetic_correlation","rank_silhouette","rank_ch","rank_db","rank_dunn","rank_balance","rank_total"
"selected_signal_positive","pam",2,0.394166443230513,7.56750400066188,0.882326770325747,0.559133710435434,3.84417261855261,4,5,0.8,0.806841018412913,104,152,167,155,21.5,119.9
"selected_top15","pam",2,0.39416612006247,7.56749467779842,0.88232748253884,0.559133980149753,3.84417507873517,4,5,0.8,0.806840923840514,105,153,168,154,21.5,120.3
"selected_top20","pam",2,0.394165344792664,7.56747390364194,0.882328999782381,0.55913449417625,3.84418056077655,4,5,0.8,0.80684080266739,106,154,169,151,21.5,120.3
"selected_top8","kmeans",3,0.38387735720371,8.48190730244447,0.855271158273254,0.562153820506492,2.0902450584051,2,4,0.5,0.766163503096708,117.5,114.5,161.5,149.5,63,121.2
"selected_top8","hclust_ward",3,0.38387735720371,8.48190730244447,0.855271158273254,0.562153820506492,2.0902450584051,2,4,0.5,0.766163503096708,117.5,114.5,161.5,149.5,63,121.2
"selected_uncorrelated","pam",2,0.394164906695647,7.56746197468375,0.882329928285658,0.559134270546433,3.84418370868723,4,5,0.8,0.806840652123724,108,155.5,170,152,21.5,121.4
"panelist_weighted","pam",2,0.394164906695647,7.56746197468375,0.882329928285658,0.559134270546432,3.84418370868723,4,5,0.8,0.806840652123724,107,155.5,171,153,21.5,121.6
"selected_top8","pam",4,0.35519309283729,8.03008407537938,0.380406370021921,0.704625248832258,1.37503104782499,1,5,0.2,0.766163503096708,131,134,47,111.5,191.5,123
"selected_top8","pam",3,0.382410798827821,8.00336123225282,0.583266130739068,0.704625248832258,2.18115169477957,1,5,0.2,0.766163503096708,119,135,84,111.5,191.5,128.2
"panelist_z","kmeans",5,0.16763290900877,3.24313531607072,0.703350091398025,0.813568785128451,43.3641602951258,1,3,0.333333333333333,0.792300189981222,177.5,175.5,108.5,92.5,91.5,129.1
"panelist_z","hclust_ward",5,0.16763290900877,3.24313531607072,0.703350091398025,0.813568785128451,43.3641602951258,1,3,0.333333333333333,0.792300189981222,177.5,175.5,108.5,92.5,91.5,129.1
"raw_scaled","kmeans",5,0.161815838311789,3.36802576104102,0.758253063903324,0.826966109078823,42.1242936891809,1,3,0.333333333333333,0.794017442715682,183.5,173.5,118.5,86.5,91.5,130.7
"raw_scaled","hclust_ward",5,0.161815838311789,3.36802576104102,0.758253063903324,0.826966109078823,42.1242936891809,1,3,0.333333333333333,0.794017442715682,183.5,173.5,118.5,86.5,91.5,130.7
"raw_scaled","kmeans",3,0.239873314913192,4.00094312032898,1.13325708141996,0.756997532187912,78.8465197491936,2,4,0.5,0.794017442715682,162,158,180,98,63,132.2
"raw_scaled","pam",3,0.239873314913192,4.00094312032898,1.13325708141996,0.756997532187912,78.8465197491936,2,4,0.5,0.794017442715682,162,158,180,98,63,132.2
"raw_scaled","hclust_ward",3,0.239873314913192,4.00094312032898,1.13325708141996,0.756997532187912,78.8465197491936,2,4,0.5,0.794017442715682,162,158,180,98,63,132.2
"panelist_z","pam",5,0.146426678823542,3.18455458055503,0.636092624316931,0.926967669582788,43.9712271540247,1,4,0.25,0.792300189981222,187,178,90,66.5,147,133.7
"raw_scaled","pam",5,0.126596834738616,3.19553333084937,0.57727662610431,0.912711298122398,43.8561645183617,1,4,0.25,0.794017442715682,189,177,83,72.5,147,133.7
"panelist_z","kmeans",3,0.228955526514286,3.79491542765493,1.15560924421099,0.748233123733641,81.2372141900973,2,4,0.5,0.792300189981222,165,162,183,103,63,135.2
"panelist_z","pam",3,0.228955526514286,3.79491542765493,1.15560924421099,0.748233123733641,81.2372141900973,2,4,0.5,0.792300189981222,165,163.5,183,103,63,135.5
"panelist_z","hclust_ward",3,0.228955526514286,3.79491542765493,1.15560924421099,0.748233123733641,81.2372141900973,2,4,0.5,0.792300189981222,165,163.5,183,103,63,135.5
"panelist_block","hclust_ward",5,0.112299836908456,2.40386419799635,0.804379186065809,0.921202822725959,432.449684939392,1,3,0.333333333333333,0.80890566334,191.5,189,144.5,69.5,91.5,137.2
"panelist_block","kmeans",5,0.112299836908456,2.40386419799635,0.804379186065809,0.921202822725959,432.449684939392,1,3,0.333333333333333,0.80890566334,191.5,190,144.5,69.5,91.5,137.4
"panelist_block","kmeans",2,0.153011273964455,2.68050508384944,1.60179225946176,0.718582401638323,1064.40727118575,4,5,0.8,0.80890566334,186,181,191,108,21.5,137.5
"panelist_block","kmeans",3,0.170427087656779,2.71998068036801,1.32527604133939,0.839526035041709,772.030579606063,2,4,0.5,0.80890566334,175.5,179.5,187.5,84.5,63,138
"panelist_block","hclust_ward",3,0.170427087656779,2.71998068036801,1.32527604133939,0.839526035041709,772.030579606063,2,4,0.5,0.80890566334,175.5,179.5,187.5,84.5,63,138
"raw_scaled","kmeans",2,0.274340166718941,3.86612826742115,0.990918092539431,0.754678876890651,118.533480214998,2,7,0.285714285714286,0.794017442715682,157.5,160.5,175.5,100.5,101,139
"raw_scaled","hclust_ward",2,0.274340166718941,3.86612826742115,0.990918092539431,0.754678876890651,118.533480214998,2,7,0.285714285714286,0.794017442715682,157.5,160.5,175.5,100.5,101,139
"panelist_block","pam",5,0.117391404219726,2.35236896668033,0.726303934814667,0.958979066947017,439.092478969474,1,4,0.25,0.80890566334,190,191,111,58,147,139.4
"panelist_z","kmeans",2,0.261505127220358,3.67997246721127,1.02949288987457,0.763225555204236,120.599561839163,2,7,0.285714285714286,0.792300189981222,159.5,165.5,177.5,95.5,101,139.8
"panelist_z","hclust_ward",2,0.261505127220358,3.67997246721127,1.02949288987457,0.763225555204236,120.599561839163,2,7,0.285714285714286,0.792300189981222,159.5,165.5,177.5,95.5,101,139.8
"panelist_z","kmeans",4,0.20747111782373,3.51444246238022,0.814375560315018,0.926967669582788,59.1893857142285,1,4,0.25,0.792300189981222,168,171,157,66.5,147,141.9
"panelist_z","pam",4,0.20747111782373,3.51444246238022,0.814375560315018,0.926967669582788,59.1893857142285,1,4,0.25,0.792300189981222,168,171,157,66.5,147,141.9
"panelist_z","hclust_ward",4,0.20747111782373,3.51444246238022,0.814375560315018,0.926967669582788,59.1893857142285,1,4,0.25,0.792300189981222,168,171,157,66.5,147,141.9
"panelist_block","pam",3,0.179717612578333,2.67527640021656,1.17908155117132,0.805749620514679,778.111881886755,2,5,0.4,0.80890566334,174,182,185,94,84,143.8
"raw_scaled","kmeans",4,0.204155852103945,3.6232593286021,0.875585300964175,0.912711298122398,57.9718254926335,1,4,0.25,0.794017442715682,171,168,165,72.5,147,144.7
"raw_scaled","pam",4,0.204155852103945,3.6232593286021,0.875585300964175,0.912711298122398,57.9718254926335,1,4,0.25,0.794017442715682,171,168,165,72.5,147,144.7
"raw_scaled","hclust_ward",4,0.204155852103945,3.6232593286021,0.875585300964175,0.912711298122398,57.9718254926335,1,4,0.25,0.794017442715682,171,168,165,72.5,147,144.7
"raw_scaled","pam",2,0.163875503690031,2.58538535154814,1.50439595385096,0.553905755623348,134.371227943588,4,5,0.8,0.794017442715682,182,186,189,157,21.5,147.1
"panelist_block","hclust_ward",2,0.182450042553606,2.56917608014663,1.22859318478586,0.81607742741571,1076.79071988005,2,7,0.285714285714286,0.80890566334,173,187,186,91,101,147.6
"panelist_block","kmeans",4,0.164515864767546,2.6480591655274,0.919268098421132,0.967978100039892,568.595416892525,1,4,0.25,0.80890566334,180,184,173,56,147,148
"panelist_block","pam",4,0.164515864767546,2.6480591655274,0.919268098421132,0.967978100039892,568.595416892525,1,4,0.25,0.80890566334,180,184,173,56,147,148
"panelist_block","hclust_ward",4,0.164515864767546,2.6480591655274,0.919268098421132,0.967978100039892,568.595416892525,1,4,0.25,0.80890566334,180,184,173,56,147,148
"panelist_z","pam",2,0.158319175410958,2.51545496130279,1.52994140861125,0.557372377201874,135.358740621232,4,5,0.8,0.792300189981222,185,188,190,156,21.5,148.1
"panelist_block","pam",2,0.135382883801156,2.25844690516289,1.65427803673237,0.699937328730736,1112.929642039,3,6,0.5,0.80890566334,188,192,192,128,63,152.6
