"representation","method","k","silhouette","calinski_harabasz","davies_bouldin","dunn_index","within_ss","min_cluster_size","max_cluster_size","balance_ratio","cophenetic_correlation","rank_silhouette","rank_ch","rank_db","rank_dunn","rank_balance","rank_total"
"selected_signal_positive_pca2","hclust_ward",4,0.474234806451949,14.622783865975,0.456084356657205,0.951620396785239,0.721440501886706,1,4,0.25,0.813617033175766,17,14,56,60,147,58.8
"selected_signal_positive_corr_mds3","kmeans",5,0.367088455333742,18.6236060597357,0.256793852113005,0.900511737178885,0.384838825551291,1,3,0.333333333333333,0.86359867858604,123.5,3.5,7.5,77.5,91.5,60.7
"selected_signal_positive_corr_mds3","hclust_ward",5,0.367088455333742,18.6236060597357,0.256793852113005,0.900511737178885,0.384838825551291,1,3,0.333333333333333,0.86359867858604,123.5,3.5,7.5,77.5,91.5,60.7
"selected_signal_positive_pca4","kmeans",4,0.454358237830412,11.3866577955108,0.522892029382282,1.01270916807849,0.999018387236742,1,4,0.25,0.813451965778271,27,41,63,26,147,60.8
"selected_signal_positive_pca4","pam",4,0.454358237830412,11.3866577955108,0.522892029382282,1.01270916807849,0.999018387236742,1,4,0.25,0.813451965778271,27,41,63,26,147,60.8
"selected_signal_positive_pca4","hclust_ward",4,0.454358237830412,11.3866577955108,0.522892029382282,1.01270916807849,0.999018387236742,1,4,0.25,0.813451965778271,27,41,63,26,147,60.8
"selected_signal_positive_corr_mds3","kmeans",4,0.391171698343649,14.4877054418392,0.320955427948005,1.02126204949063,0.779141549460521,1,4,0.25,0.86359867858604,110,17,21,23,147,63.6
"selected_signal_positive_corr_mds3","pam",4,0.391171698343649,14.4877054418392,0.320955427948005,1.02126204949063,0.779141549460521,1,4,0.25,0.86359867858604,110,17,21,23,147,63.6
"selected_signal_positive_corr_mds3","hclust_ward",4,0.391171698343649,14.4877054418392,0.320955427948005,1.02126204949063,0.779141549460521,1,4,0.25,0.86359867858604,110,17,21,23,147,63.6
"selected_signal_positive_corr_mds4","kmeans",5,0.351484368175006,17.849451965686,0.262755283759215,0.900424026671329,0.401782634149359,1,3,0.333333333333333,0.862648837560414,132.5,5.5,10.5,79.5,91.5,63.9
"selected_signal_positive_corr_mds4","hclust_ward",5,0.351484368175006,17.849451965686,0.262755283759215,0.900424026671329,0.401782634149359,1,3,0.333333333333333,0.862648837560414,132.5,5.5,10.5,79.5,91.5,63.9
"selected_signal_positive_corr_mds4","kmeans",4,0.384276112399744,14.142122966987,0.325132999353249,1.02478861829476,0.798435832064268,1,4,0.25,0.862648837560414,115,20,27,20,147,65.8
"selected_signal_positive_corr_mds4","pam",4,0.384276112399744,14.142122966987,0.325132999353249,1.02478861829476,0.798435832064268,1,4,0.25,0.862648837560414,115,20,27,20,147,65.8
"selected_signal_positive_corr_mds4","hclust_ward",4,0.384276112399744,14.142122966987,0.325132999353249,1.02478861829476,0.798435832064268,1,4,0.25,0.862648837560414,115,20,27,20,147,65.8
"selected_signal_positive_pca4","kmeans",5,0.366139738226749,12.1872702619951,0.282694726379237,1.03422042182941,0.593322691953819,1,4,0.25,0.813451965778271,126,36,15,17,147,68.2
"selected_signal_positive_pca4","pam",5,0.366139738226749,12.1872702619951,0.282694726379237,1.03422042182941,0.593322691953819,1,4,0.25,0.813451965778271,126,36,15,17,147,68.2
