"Productname","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"33%'",-2.83345747106902,-2.0786463068471,-2.88662465278657,-1.30703629923959,-0.25384373393415,-1.21720934354239,-0.0593162704248032,-0.313222167387061,4.44089209850063e-16
"24%'",1.06522010442698,-2.20649473966289,-0.458838517855369,-0.725867336303645,1.63478878941739,0.990983680688896,0.268384735263015,0.846494353774394,1.80411241501588e-16
"16%'",-0.126376659921114,2.2316660842061,0.673774169108965,-1.44792253159417,0.427247536543655,1.15842552384943,0.783022003347653,-0.70490020245506,2.22044604925031e-16
"D-CH",-0.510800816870182,-4.131868369816,2.9064285351856,0.381578495924269,-0.85568192552273,0.187421377258865,-0.168425744633151,-0.317660390489325,-7.7715611723761e-16
"A-Pr",5.15351201284332,-0.349834603773832,-1.85340624357477,2.06457321572599,0.194736539021496,0.161430705709804,0.0516161221383853,-0.406112074106206,5.55111512312578e-16
"B-Pr",4.52432294693243,1.73547412614704,1.33965646919036,-1.29997109152727,-0.539654442117184,-1.59329465716059,-0.172760867406441,0.306195171276394,4.9960036108132e-16
"P",-1.45065798192541,1.87248754998416,-0.175605521133533,-0.0902740026357328,0.194709367455229,0.972878890410925,-1.48155728016323,-0.0238501478592496,1.11022302462516e-16
"C-CH",-3.78714296575739,1.56616637355986,1.11831265859534,1.63979458148906,1.57240828205122,-1.24473190731659,0.279369823132368,0.0686067854259615,-3.88578058618805e-16
"P+Ar",-2.03461916865962,1.36104988620266,-0.66369689673002,0.785124968161083,-2.37471041291493,0.584095730101654,0.499667478746205,0.544448671820153,7.25839071043102e-17
